timestamp,cell_id,cell_type,slice_type,throughput_mbps,latency_ms,packet_loss_pct,handover_count,rsrp_dbm,rsrq_db,prb_utilization_pct,active_users,sla_compliant
2024-01-01 00:00:00,CELL_007,micro,eMBB,864.5,6.418,0.4494,3,-97.3,-7.29,56.2,36,1
2024-01-01 00:01:00,CELL_020,micro,mMTC,48.97,29.693,0.5957,8,-104.8,-6.69,35.5,197,1
2024-01-01 00:02:00,CELL_015,macro,mMTC,53.18,10.869,0.3442,2,-103.8,-14.02,38.6,215,1
2024-01-01 00:03:00,CELL_011,macro,mMTC,62.44,25.479,0.5568,3,-87.2,-15.24,33.3,206,1
2024-01-01 00:04:00,CELL_008,micro,mMTC,43.89,21.725,0.682,1,-91.6,-14.06,24.0,199,1
2024-01-01 00:05:00,CELL_007,macro,eMBB,682.82,9.203,0.3167,2,-112.2,-9.13,94.1,45,1
2024-01-01 00:06:00,CELL_019,micro,eMBB,790.87,10.6,0.0929,1,-114.6,-18.43,75.1,50,1
2024-01-01 00:07:00,CELL_011,macro,URLLC,306.01,1.655,0.0343,3,-118.5,-8.56,56.4,12,1
2024-01-01 00:08:00,CELL_011,micro,eMBB,775.87,10.109,0.4414,4,-71.5,-14.97,68.6,33,1
2024-01-01 00:09:00,CELL_004,micro,mMTC,35.76,15.674,0.0757,1,-112.3,-7.01,53.6,200,1
2024-01-01 00:10:00,CELL_008,macro,eMBB,878.42,12.022,0.3158,4,-117.4,-3.7,78.0,55,1
2024-01-01 00:11:00,CELL_003,macro,eMBB,879.42,9.848,0.2462,1,-95.6,-8.07,67.4,36,1
2024-01-01 00:12:00,CELL_002,macro,eMBB,815.91,9.096,0.3651,0,-115.1,-18.27,68.9,45,1
2024-01-01 00:13:00,CELL_012,micro,HC,1201.89,3.555,0.4502,3,-77.2,-11.84,86.6,12,1
2024-01-01 00:14:00,CELL_006,pico,eMBB,870.92,9.419,1.2384,5,-75.1,-14.82,86.8,41,1
2024-01-01 00:15:00,CELL_002,macro,URLLC,234.54,0.708,0.0094,1,-95.5,-6.44,55.0,10,1
2024-01-01 00:16:00,CELL_001,micro,URLLC,306.08,1.866,0.0506,2,-107.7,-6.94,70.0,14,1
2024-01-01 00:17:00,CELL_012,macro,eMBB,760.1,9.996,0.0022,2,-110.9,-11.91,79.0,45,1
2024-01-01 00:18:00,CELL_012,macro,URLLC,193.99,1.962,0.0102,4,-117.6,-5.07,50.8,9,1
2024-01-01 00:19:00,CELL_017,pico,mMTC,24.51,25.424,1.0478,1,-113.1,-17.75,33.0,196,1
2024-01-01 00:20:00,CELL_010,macro,URLLC,231.97,1.621,0.0183,2,-112.5,-12.8,52.4,11,1
2024-01-01 00:21:00,CELL_016,macro,mMTC,40.71,21.074,0.1659,1,-98.6,-3.28,23.7,198,1
2024-01-01 00:22:00,CELL_015,macro,eMBB,915.21,7.742,0.9264,1,-70.5,-6.92,82.9,60,1
2024-01-01 00:23:00,CELL_015,macro,eMBB,868.7,9.299,0.7146,4,-73.2,-10.04,80.3,45,1
2024-01-01 00:24:00,CELL_019,macro,HC,1040.64,4.042,0.3538,2,-81.3,-19.12,80.7,7,1
